subject,course_title,abs_course_url
Education & Teaching,Critical Thinking at University: An Introduction,https://www.classcentral.com/course/futurelearn-critical-thinking-at-university-an-introduction-12273
Education & Teaching,Teaching Character and Creating Positive Classrooms ,https://www.classcentral.com/course/coursera-teaching-character-and-creating-positive-classrooms-866
Education & Teaching,Modelli di insegnamento nella ricerca educativa,https://www.classcentral.com/course/edx-modelli-di-insegnamento-nella-ricerca-educativa-11405
Education & Teaching,Leaders of Learning,https://www.classcentral.com/course/edx-leaders-of-learning-2027
Education & Teaching,Applying to U.S. Universities,https://www.classcentral.com/course/coursera-applying-to-u-s-universities-1620
Education & Teaching,"American Education Reform: History, Policy, Practice",https://www.classcentral.com/course/coursera-american-education-reform-history-policy-practice-2793
Education & Teaching,Aprendizaje y Enseñanza Virtual,https://www.classcentral.com/course/edx-aprendizaje-y-ensenanza-virtual-7266
Education & Teaching,"Academic Integrity: Values, Skills, Action ",https://www.classcentral.com/course/futurelearn-academic-integrity-values-skills-action-2131
Education & Teaching,Fundamentals of Engineering Exam Review,https://www.classcentral.com/course/coursera-fundamentals-of-engineering-exam-review-4434
Education & Teaching,Teach English Now! Technology Enriched Teaching,https://www.classcentral.com/course/coursera-teach-english-now-technology-enriched-teaching-6211
Education & Teaching,Teaching Tips for Tricky English Grammar,https://www.classcentral.com/course/coursera-teaching-tips-for-tricky-english-grammar-7364
Education & Teaching,Kickstart Your Career: Getting Ahead at University,https://www.classcentral.com/course/futurelearn-kickstart-your-career-getting-ahead-at-university-7626
Education & Teaching,Teaching Impacts of Technology: Workplace of the Future,https://www.classcentral.com/course/coursera-teaching-impacts-of-technology-workplace-of-the-future-11235
Education & Teaching,Migrants and Refugees in Education: A toolkit for teachers,https://www.classcentral.com/course/futurelearn-migrants-and-refugees-in-education-a-toolkit-for-teachers-11825
Education & Teaching,Computational Thinking for K-12 Educators: Variables and Nested Loops,https://www.classcentral.com/course/coursera-computational-thinking-for-k-12-educators-variables-and-nested-loops-12363
Education & Teaching,Computational Thinking for K-12 Educators: Sequences and Loops,https://www.classcentral.com/course/coursera-computational-thinking-for-k-12-educators-sequences-and-loops-12365
Education & Teaching,The IB Extended Essay: Managing your Research Project,https://www.classcentral.com/course/futurelearn-the-ib-extended-essay-managing-your-research-project-12702
Education & Teaching,Reconciliation Through Indigenous Education,https://www.classcentral.com/course/edx-reconciliation-through-indigenous-education-2851
Education & Teaching,Learning Online: Reflecting and Sharing,https://www.classcentral.com/course/futurelearn-learning-online-reflecting-and-sharing-5017
Education & Teaching,"Literacy Teaching and Learning: Aims, Approaches and Pedagogies",https://www.classcentral.com/course/coursera-literacy-teaching-and-learning-aims-approaches-and-pedagogies-6760
Education & Teaching,Orchestrating Whole Classroom Discussion,https://www.classcentral.com/course/coursera-orchestrating-whole-classroom-discussion-7421
Education & Teaching,"An Introduction to Recreational Math: Fun, Games and Puzzles",https://www.classcentral.com/course/futurelearn-an-introduction-to-recreational-math-fun-games-and-puzzles-10736
Education & Teaching,Diseño instruccional para el aprendizaje activo ,https://www.classcentral.com/course/coursera-diseno-instruccional-para-el-aprendizaje-activo-12622
Education & Teaching,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,https://www.classcentral.com/course/coursera-e-learning-ecologies-innovative-approaches-to-teaching-and-learning-for-the-digital-age-2066
Education & Teaching,Techniques for Teaching Adjectives and Adjective Clauses,https://www.classcentral.com/course/coursera-techniques-for-teaching-adjectives-and-adjective-clauses-7366
Education & Teaching,Teaching Physical Computing with Raspberry Pi and Python,https://www.classcentral.com/course/futurelearn-teaching-physical-computing-with-raspberry-pi-and-python-7644
Education & Teaching,Get Interactive: Practical Teaching with Technology,https://www.classcentral.com/course/coursera-get-interactive-practical-teaching-with-technology-8415
Education & Teaching,Tinkering Fundamentals: Circuits,https://www.classcentral.com/course/coursera-tinkering-fundamentals-circuits-8961
Education & Teaching,Teaching Impacts of Technology: Global Society,https://www.classcentral.com/course/coursera-teaching-impacts-of-technology-global-society-11236
Education & Teaching,"Computational Thinking for K-12 Educators: Abstraction, Methods, and Lists",https://www.classcentral.com/course/coursera-computational-thinking-for-k-12-educators-abstraction-methods-and-lists-12360
Education & Teaching,La escuela y su comunidad: lecciones desde la ruralidad,https://www.classcentral.com/course/coursera-la-escuela-y-su-comunidad-lecciones-desde-la-ruralidad-11976
Education & Teaching,"Providing Social, Emotional, Behavioral, and Special Education Services in School",https://www.classcentral.com/course/coursera-providing-social-emotional-behavioral-and-special-education-services-in-school-12825
Education & Teaching,MOOC: How to make a MOOC?,https://www.classcentral.com/course/coursera-mooc-how-to-make-a-mooc-13271
Education & Teaching,Aboriginal Worldviews and Education,https://www.classcentral.com/course/coursera-aboriginal-worldviews-and-education-394
Education & Teaching,Learning Online: Searching and Researching,https://www.classcentral.com/course/futurelearn-learning-online-searching-and-researching-5019
Education & Teaching,Information & Digital Literacy for University Success,https://www.classcentral.com/course/coursera-information-digital-literacy-for-university-success-6690
Education & Teaching,"Leading for Equity, Diversity and Inclusion in Higher Education",https://www.classcentral.com/course/coursera-leading-for-equity-diversity-and-inclusion-in-higher-education-8736
Education & Teaching,"Managing ADHD, Autism, Learning Disabilities, and Concussion in School",https://www.classcentral.com/course/coursera-managing-adhd-autism-learning-disabilities-and-concussion-in-school-12821
Education & Teaching,Preparing for the Google Cloud Professional Cloud Architect Exam,https://www.classcentral.com/course/coursera-preparing-for-the-google-cloud-professional-cloud-architect-exam-12827
Education & Teaching,Modelos de diseño instruccional para ambientes digitales ,https://www.classcentral.com/course/coursera-modelos-de-diseno-instruccional-para-ambientes-digitales-12623
Education & Teaching,Computational Thinking for K-12 Educators: Conditional Loops and If Statements,https://www.classcentral.com/course/coursera-computational-thinking-for-k-12-educators-conditional-loops-and-if-statements-12349
Education & Teaching,ICT in Primary Education: Transforming children's learning across the curriculum,https://www.classcentral.com/course/coursera-ict-in-primary-education-transforming-children-s-learning-across-the-curriculum-1763
Education & Teaching,Learning Online: Learning and Collaborating,https://www.classcentral.com/course/futurelearn-learning-online-learning-and-collaborating-5015
Education & Teaching,Learning Online: Managing Your Identity,https://www.classcentral.com/course/futurelearn-learning-online-managing-your-identity-5018
Education & Teaching,Critical Thinking Skills for University Success,https://www.classcentral.com/course/coursera-critical-thinking-skills-for-university-success-6689
Education & Teaching,Studying at Japanese Universities,https://www.classcentral.com/course/coursera-studying-at-japanese-universities-7172
Education & Teaching,Introducción al Aprendizaje Universitario,https://www.classcentral.com/course/coursera-introduccion-al-aprendizaje-universitario-10749
Education & Teaching,Computational Thinking for K-12 Educators: Nested If Statements and Compound Conditionals ,https://www.classcentral.com/course/coursera-computational-thinking-for-k-12-educators-nested-if-statements-and-compound-conditionals-12354
Education & Teaching,Attaining Higher Education,https://www.classcentral.com/course/edx-attaining-higher-education-13336
Education & Teaching,网络课程与学习评价,https://www.classcentral.com/course/coursera--5919
Mathematics,Introduction to Mathematical Thinking,https://www.classcentral.com/course/coursera-introduction-to-mathematical-thinking-370
Mathematics,Estadística Aplicada a los Negocios,https://www.classcentral.com/course/edx-estadistica-aplicada-a-los-negocios-10270
Mathematics,Intro to Statistics,https://www.classcentral.com/course/udacity-intro-to-statistics-361
Mathematics,Matrix Algebra for Engineers,https://www.classcentral.com/course/coursera-matrix-algebra-for-engineers-11986
Mathematics,Fibonacci Numbers and the Golden Ratio,https://www.classcentral.com/course/coursera-fibonacci-numbers-and-the-golden-ratio-6684
Mathematics,Statistical Learning,https://www.classcentral.com/course/stanford-openedx-statistical-learning-1579
Mathematics,Tutorials for Complex Systems,https://www.classcentral.com/course/complexity-explorer-tutorials-for-complex-systems-1194
Mathematics,Introduction to Probability - The Science of Uncertainty,https://www.classcentral.com/course/edx-introduction-to-probability-the-science-of-uncertainty-1496
Mathematics,Nonlinear Dynamics: Mathematical and Computational Approaches,https://www.classcentral.com/course/complexity-explorer-nonlinear-dynamics-mathematical-and-computational-approaches-1195
Mathematics,Mathematical Biostatistics Boot Camp 1,https://www.classcentral.com/course/coursera-mathematical-biostatistics-boot-camp-1-596
Mathematics,Introduction to Algebra,https://www.classcentral.com/course/edx-introduction-to-algebra-2526
Mathematics,"Advanced Precalculus: Geometry, Trigonometry and Exponentials",https://www.classcentral.com/course/futurelearn-advanced-precalculus-geometry-trigonometry-and-exponentials-9602
Mathematics,Bayesian Statistics,https://www.classcentral.com/course/coursera-bayesian-statistics-6097
Mathematics,College Algebra,https://www.classcentral.com/course/udacity-college-algebra-630
Mathematics,How to Learn Math: For Students,https://www.classcentral.com/course/stanford-openedx-how-to-learn-math-for-students-917
Mathematics,Effective Thinking Through Mathematics,https://www.classcentral.com/course/edx-effective-thinking-through-mathematics-1335
Mathematics,Queuing Theory: from Markov Chains to Multi-Server Systems,https://www.classcentral.com/course/edx-queuing-theory-from-markov-chains-to-multi-server-systems-10079
Mathematics,Intro to Descriptive Statistics,https://www.classcentral.com/course/udacity-intro-to-descriptive-statistics-2309
Mathematics,Basic Statistics,https://www.classcentral.com/course/coursera-basic-statistics-4312
Mathematics,Introduction to Renormalization,https://www.classcentral.com/course/complexity-explorer-introduction-to-renormalization-11490
Mathematics,Linear Algebra - Foundations to Frontiers,https://www.classcentral.com/course/edx-linear-algebra-foundations-to-frontiers-1337
Mathematics,"Precalculus: the Mathematics of Numbers, Functions and Equations",https://www.classcentral.com/course/futurelearn-precalculus-the-mathematics-of-numbers-functions-and-equations-8988
Mathematics,Intro Algebra Review,https://www.classcentral.com/course/udacity-intro-algebra-review-2666
Mathematics,Intro to Inferential Statistics,https://www.classcentral.com/course/udacity-intro-to-inferential-statistics-2310
Mathematics,Maximum Entropy Methods,https://www.classcentral.com/course/complexity-explorer-maximum-entropy-methods-11479
Mathematics,Introduction to Differential Equations,https://www.classcentral.com/course/complexity-explorer-introduction-to-differential-equations-11477
Mathematics,Introduction to Linear Models and Matrix Algebra,https://www.classcentral.com/course/edx-introduction-to-linear-models-and-matrix-algebra-2963
Mathematics,Aléatoire : une introduction aux probabilités - Partie 1,https://www.classcentral.com/course/coursera-aleatoire-une-introduction-aux-probabilites-partie-1-852
Mathematics,Analytic Combinatorics,https://www.classcentral.com/course/coursera-analytic-combinatorics-922
Mathematics,Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,https://www.classcentral.com/course/coursera-cok-degiskenli-fonksiyon-ii-uygulamalar-multivariable-calculus-ii-applications-4165
Mathematics,"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications",https://www.classcentral.com/course/coursera-dogrusal-cebir-ii-kare-matrisler-hesaplama-yontemleri-ve-uygulamalar-linear-algebra-ii-square-matrices-calculation-methods-and-applications-5046
Mathematics,Business Applications of Hypothesis Testing and Confidence Interval Estimation ,https://www.classcentral.com/course/coursera-business-applications-of-hypothesis-testing-and-confidence-interval-estimation-7035
Mathematics,Linear Regression for Business Statistics,https://www.classcentral.com/course/coursera-linear-regression-for-business-statistics-7041
Mathematics,Mathematical Thinking in Computer Science,https://www.classcentral.com/course/coursera-mathematical-thinking-in-computer-science-9212
Mathematics,Mathematics for Machine Learning: Linear Algebra,https://www.classcentral.com/course/coursera-mathematics-for-machine-learning-linear-algebra-10453
Mathematics,Introduction to Calculus,https://www.classcentral.com/course/coursera-introduction-to-calculus-12547
Mathematics,Logistic Regression in R for Public Health,https://www.classcentral.com/course/coursera-logistic-regression-in-r-for-public-health-13075
Mathematics,Linear Regression in R for Public Health ,https://www.classcentral.com/course/coursera-linear-regression-in-r-for-public-health-13077
Mathematics,Çok değişkenli Fonksiyon I: Kavramlar / Multivariable Calculus I:  Concepts,https://www.classcentral.com/course/coursera-cok-degiskenli-fonksiyon-i-kavramlar-multivariable-calculus-i-concepts-1412
Mathematics,Combinatorics and Probability,https://www.classcentral.com/course/coursera-combinatorics-and-probability-2464
Mathematics,Aléatoire : une introduction aux probabilités - Partie 2,https://www.classcentral.com/course/coursera-aleatoire-une-introduction-aux-probabilites-partie-2-5716
Mathematics,Applied Logistic Regression,https://www.classcentral.com/course/canvas-network-applied-logistic-regression-6579
Mathematics,Improving your statistical inferences,https://www.classcentral.com/course/coursera-improving-your-statistical-inferences-7353
