date,compensation_type,title,url,employment_type,description
2019-03-28 05:25,DOE,Job-Based IT QA & Selenium Webdriver Training (MD/VA/DC) (Rockville),https://washingtondc.craigslist.org/nva/sof/d/rockville-job-based-it-qa-selenium/6852244534.html,full-time,"
        ,
Contact Us:,
Cell: (443)603-3985 [Text/Whatsapp Welcome],
Office: (301)200-5008,
,
**Live Agile Projects** to get you work Experience as a Quality Assurance Analyst,
,
Visit Us: www.itechsolutionsinc.com,
Address 11140 Rockville Pike Suite 400 Rockville MD 20852,
,
**100% Students are in jobs - till date** *Making between 60k to 80k per year*,
,
We are not a staffing company. We do not make you sign a contract for a year like other companies or take a cut out of your salary for a year.,
We have a fee which is payable in installments during the training period. We support you till you get a job.,
,
UPCOMING CLASS SCHEDULES: Software Quality Assurance Manual and Automation(Selenium) Training,
WEEKENDS: 16 Weeks,
2PM - 5PM - Apr 06,
,
UPCOMING CLASS SCHEDULES: Selenium Webdriver Automation Tool Training,
WEEKDAYS: (Wed and Thur)12 Weeks,
6.30-9.30 P.M - Mar27th,
,
** Register for the class by making a deposit $200 as the classes fill in very fast**,
,
**MEET THE TRAINER @ 1pm or 8pm ANY WEEKEND or after 6 PM on WEEKDAYS in Rockville**,
Please call or text before you plan to come to meet the trainer and set up an appointment,
,
Please bring along a Laptop,
Please call when you reach, we will have to let you in the building.,
****You can attend the classes online****,
,
17+ yrs of IT QA Experience is your Trainer!!,
,
Who is it for??,
*****Motivated and Determined Folks Who Want To Make IT Their Career******,
UNDER-GRADS, GRADS(Any field || Any Year!!),
and,
WORKING NON-IT AND IT PROFESSIONALS!!!,
,
FEATURING,
Introduction to QA. What is Quality Assurance Testing?,
Introduction to Software Development Life Cycle (SDLC),
Testing Methodologies (Waterfall and Agile),
QA Processes,
How to Test Web Based, Client Server Applications, Mobile Applications,
Writing Robust Test Scenarios and TestCases,
Tools for Writing Test Cases (Quality Center, Test Rail),
How to write Test Cases from Requirements and Design Documents,
Requirement Traceability Matrix (RTM),
How to Log Defects/Bugs,
Bug Logging and Tracking Tools (JIRA, ALM, ClearQuest),
Expertise on Different Kinds of Testing (Smoke, Functional, System, Integration, Performance, Alpha, Beta, Regression),
***JIRA AGILE***,
Hands on Experience in Testing Live Projects,
Database-Writing SQL Queries to Perform Back-end Testing,
Writing Complete Test Plans,
How to look at LogFiles to Determine Errors and Software Bugs,
A typical day in the life of a QA Engineer during different stages of SDLC,
Domain Expertise:Mobile Device Management(MDM) and Mobile Service Management(MSM), Mortgage Industry,
***Selenium WebDriver Automation Testing***,
Automation Tool - Tosca,
Web Services Testing using Soap UI,Postman,
Basic Unix Commands for Testing,
Job Interview Training,
Resume Prep,
Mock Interviews,
Placement Guidance,
Interview Support,
References    "
2019-03-22 17:15,"Salary commensurate with experience.  Includes fully paid insurance premiums, 401k match, HSA match, and more.","[Kickass] 4N6 Dev (US citizens only, no telecommuters)",https://washingtondc.craigslist.org/nva/sof/d/herndon-kickass-4n6-dev-us-citizens/6847965763.html,full-time,"
        ,
We are seeking a motivated software developer to work with us on a digital forensic project. We're interested in your ability to learn new things and apply your intellect to solve difficult problems, experience with specific programming languages and technologies are less important. In this national security position you will leverage your technical skills to keep people safe and make a difference in the world.  You will: ,
,
Work on a small team to research & develop digital forensic tools,
Create novel data visualization techniques for displaying raw data,
Develop new techniques for recovering data from computers and mobile devices ,
Collaborate regularly with customer to implement new functionality,
,
We require: ,
B.S. in Computer Science (or related degree) with relevant experience ,
US Citizenship with ability to pass a thorough background check.  ,
,
We design and develop custom digital forensic tools. We focus on creating new and innovative solutions to meet the very unique needs of our customers.  Few companies can match our expertise when it comes to creating digital forensic software. Our software processes petabytes of data and traverses through billions of files, to help our customers surface key data points.  Our personnel are highly trained and have vast experience in the field of digital forensics. If you are interested, please submit a resume to let us know about your interests, education, experience and skills. We encourage you to let us know why you're interested.,
,
0J/RgNC40LLQtdGCINC00YDRg9CzISDQktGLINC90LDRiNC70Lgg0YHQtdC60YDQtdGC0L3QvtC1INGB0L7QvtCx0YnQtdC90LjQtSwg0LTQtdC80L7QvdGB0YLRgNC40YDRg9GO0YnQtdC1INCy0LDRiNC4INGC0LXRhdC90LjRh9C10YHQutC40LUg0LLQvtC30LzQvtC20L3QvtGB0YLQuC4g0J/QvtC20LDQu9GD0LnRgdGC0LAsINCy0LrQu9GO0YfQuNGC0LUg0Y3RgtC+INGB0LXQutGA0LXRgtC90L7QtSDRgdC+0L7QsdGJ0LXQvdC40LUg0LIg0LLQsNGI0YMg0Y3Qu9C10LrRgtGA0L7QvdC90YPRjiDQv9C+0YfRgtGDOiAxMzM3Lgo=    "
2019-03-25 09:36,Competitive salary and benefits package,Systems Technical Project Lead,https://washingtondc.craigslist.org/doc/sof/d/washington-systems-technical-project/6849829660.html,full-time,"
        ,
Do you want to be a part of something innovative and cutting edge? If your answer is yes, then join our team of more than a hundred software engineers, designers, project managers and software specialists that are smart, creative and excited by what they do!,
,
Some of our ground-breaking work includes: advanced computer-adaptive algorithms (only one that’s peer-approved in the country); mobile support for the user interfaces; learning management systems with social media features; user interfaces that are universally accessible to people with or without disabilities; innovative, machine-scorable items and that’s just to name a few.,
,
The American Institutes for Research (AIR) is a leading professional services firm with a growing software engineering and product development team. The Assessment group provides assessment services and technical assistance to school systems nationwide. We design and build things that are inspiring and make a real impact in the online testing industry and we are currently seeking a Systems Technical Project Lead to join our Assessments team in Washington, D.C.,
,
Responsibilities,
,
The Technical Project Lead, Systems Engineering will be primarily responsible for the following:,
• Acting as a liaison between the Systems Engineering team, the Project Management team, and the Software Engineering team on all issues including: system design, system analysis, server provisioning, software deployment, software performance, system reliability, and maintenance,
• Developing requirements, budgets, and schedules for the Systems Engineering Team in coordination with the software engineering teams,
• Assisting in establishing standard processes for diagnosing issues, tracking statuses, and escalating issues within and outside of the group,
• Assisting in establishing product and process improvement plans to reduce support effort and increase product availability and scalability,
• Facilitating requirements meetings, including peer review sessions and status meetings with clients and the Project Management team,
• Establishing milestones, anticipating issues, and monitoring adherence to project scope, requirements and design documents, schedules, and the software development process,
• Assuming day-to-day responsibility for ensuring that a project is completed on time and within budget and that all deliverables are of the highest quality,
• Working closely with the Project Management team to share best practices, help resolve project issues, and ensure that staff is properly allocated to tasks, taking into consideration each staff member’s skills and interests and each project’s needs,
• Maintaining client relations and communications, including status reporting and informal conversations,
,
Qualifications,
,
• Bachelor's or Master’s Degree in Information Systems, Computer Science, Engineering, Statistics, Public Administration, Business Management or a related field ,
• 7+ years of experience with a Bachelor's degree or 5+ years of experience with a Master's degree,
• Experience in applying best practices in project management, including those used to initiate, plan, control, monitor, and report upon all phases of project activity,
• Familiarity with project management tools such as Microsoft Project or BaseCamp and one or more versioning tools such as CVS, SVN, Mercurial, and Git,
• Experience with managing technical projects in a large, complex web-hosting environment,
• Knowledge of IT concepts, issues, practices, methodologies, and trends, particularly those relevant to the design of large-scale web hosting environments,
• Coordination of security related initiatives between the development teams, the system engineering team, and Rackspace,
• Knowledge of network devices and protocols used in web hosting environments, including load balancers and firewalls,
• Knowledge and familiarity with network operating systems such as Windows Server, Linux, UNIX, Mac OS Server,
• Experience with three-tier web hosting architecture: interface, application, and data,
• Ability to understand and analyze complex issues and information relating to database management,
• Excellent documentation and communication skills,
• Must be proactive, detail-oriented, and team-oriented,
• Must have an aptitude for learning new software,
,
,
,
,
    "
2019-03-25 10:37,Competitive salary and benefits package,.NET Software Engineer,https://washingtondc.craigslist.org/doc/sof/d/washington-net-software-engineer/6849884505.html,full-time,"
        ,
Overview,
,
American Institutes for Research (AIR) is a leading professional services firm with a growing software engineering and product development team. We design and build things that are inspiring and make a real impact in the online testing industry. Be part of something innovative and cutting edge. Join our team of more than a hundred software engineers, designers, project managers and software specialists that are smart, creative and excited by what they do. ,
,
Some of our ground-breaking work includes: ,
• advanced computer-adaptive algorithms (only one that’s peer-approved in the country) ,
• mobile support for the user interfaces ,
• learning management systems with social media features ,
• user interfaces that are universally accessible to people with or without disabilities ,
• innovative, machine-scorable items ,
,
This Software Engineer (.NET) position can be located in our Washington, D.C. or Reston, Virginia office.,
,
Responsibilities,
,
The Software Engineer (.NET) will be an integral part of the software engineering and product development team within AIR. This group of professionals provide custom software solutions for our clients as well as internal support systems. Much of the work we perform is new development, so the right candidate will have the skills needed to perform full life-cycle software development. This includes participation in requirements gathering, application and database design, system documentation, writing and unit-testing efficient code, and deployment.,
,
Qualifications,
,
• B.S. and/or M.S. in Computer Science,
• Professional .NET software development experience ,
• 4+ years experience utilizing C#, ASP.Net, Javascript and XML ,
• SQL experience to include work with relational databases and writing SQL queries ,
• Solid understanding of object oriented (OO) analysis and design principles and demonstrated proficiency/expert knowledge in OO design ,
• Solid understanding of algorithms ,
• Self-starting, independent thinker and worker ,
• Excellent analytical skills ,
• Highly detail-oriented ,
• Good communication skills ,
• Ability to work well on a team as well as independently ,
,
PREFERRED QUALIFICATIONS: ,
• M.S. in Computer Science ,
• Training and experience in Artificial Intelligence ,
• SQL Server 2008 and Transact-SQL, C++, ASP, VB Script WP,
,
*** For initial consideration, all candidates must follow the link below and complete the coding exercise/skill set assessment***,
,
,
    "
2019-03-20 14:50,"competitive, commensurate with experience",Database Administrator (DBA),https://washingtondc.craigslist.org/mld/sof/d/silver-spring-database-administrator-dba/6846165131.html,full-time,"
        ,
Looking for a collaborative, fun company with room for growth?,
,
IMS, Inc. is a recognized leader in the biomedical IT field, with clients including the NCI, CDC, & major pharmaceutical firms. We are a diverse group of people with a focus on product quality, customer satisfaction, & enjoying what we do. We have a relaxed, friendly work environment, where employees are recognized for the work that they do. Add to that work/life balance, social events, casual dress, & no cubicles- that’s why many employees have stayed with us.,
,
Join us as a Database Administrator & see what makes IMS such a unique place to work!,
,
As an entry-level DBA, you will:,
•Design, develop, administer, & maintain the integrity, security, & availability of multiple relational databases for our biomedical information systems,
•Perform disaster recovery, index maintenance, & database user account maintenance,
•Assist with performance analysis and tuning & data organization and storage,
•Perform other database administration related duties as assigned,
,
To be eligible for this position, you must meet the following requirements:,
•BA/BS in CompSci, IS, Math, or related field from a U.S. DOE accredited institution with a 2.9+ GPA,
•0-4 years of related experience,
•Proficiency with SQL,
•Knowledge of relational database analysis & design (Postgres, Oracle, MySQL, Sybase, or MS-SQL),
•Familiarity with scripting languages (Python, Perl, Shell Scripting, etc.),
•Experience with revision control systems (Git, Subversion, Mercurial, CVS, etc.),
•Experience in Linux systems and deployment automation a plus,
•Demonstrated strong verbal & written communication skills,
•Demonstrated ability to relay technical information to clients & users in layman terms,
•Demonstrated strong problem-solving & analytical skills,
•Demonstrated customer service skills,
•Excellent attention to detail & organization skills,
•Must be able to multi-task, meet deadlines, & work within a team,
•Ability to obtain & maintain a security clearance,
•Strong presentation skills preferred,
,
If this sounds like the right position for your career, apply today at: ,. ,
,
IMS is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national or ethnic origin, age, disability, protected veteran status, or other characteristic protected by applicable law.    "
2019-03-22 11:19,DOE,Business Analyst / Tester,https://washingtondc.craigslist.org/doc/sof/d/silver-spring-business-analyst-tester/6847588316.html,full-time,"
        ,
Business Analyst / Tester – Silver Spring, MD,
,
Position Description,
Will determine operational objectives and study NOAA mission goals; evaluate current business processes and recommend improvements; and translate improved processes into business and technical requirements. Will analyze business and technical requirements, map data flow, and write system specifications; develop wireframes and user stories that are intuitive and efficient; and construct workflow charts, data flow diagrams, and data management plans. Will be responsible for the development of test scenarios, test cases and test plans, execution of test cases and any overall continuous process improvement to the testing process and methodologies. Will also:,
,
•	Interact with client and development teams on a regular basis to obtain requirement and design details.,
•	Deliver software development lifecycle artifacts; collaborate with business owners on all aspects of needs analysis and system inventory; support tracking and prioritization of new requirements, enhancements, and defect resolution; and conduct market research and gather pricing information. ,
•	Define and identify project milestones, phases, and dependencies; provide support in determining project resource/budget requirements; and monitor project progress by tracking activity, resolving problems, publishing progress reports, and recommending process changes.,
•	Maintain system protocols by writing and updating procedures; support system reporting; support release management process; develop and maintain test documentation and support project team in following and implementing software development lifecycle best practices. ,
•	Provide references for users, maintain user documentation, provide help desk support, conduct user acceptance testing, and deliver training to users; maintain user confidence and protect operations by keeping information confidential; and serve as the liaison between content contributors, the designer/technician, and the server administrator to manage the timely, accurate update of all web content. ,
•	Evaluate, recommend, and support testing efforts and general test strategies.,
•	Develop, publish and implement test plans.,
•	Develop thorough and organized documentation for test cases by clearly articulating test objectives, steps, and expected results,
•	Design and execute workflow, test case plans, implementation points, and test data before development is complete,
•	Produce meeting minutes and provide other administrative support, as needed.,
,
Required Skills,
6+ years of experience capturing requirements and testing web applications. Must have the ability to analyze and translate requirements and development use cases into test scripts; hands-on experience with the latest QA technologies; experience in creating test requirements, test plans, test scenarios and test scripts for automated testing; and experience executing test scripts. Must have excellent oral and written communication skills for technical and non-technical audiences, organizational skills; and strong teamwork and partnering skills for cross-group collaboration. ,
,
Must be a US Citizen or a Permanent Resident and be able to pass a background investigation to obtain a security badge to enter the applicable government facility.,
,
Education,
BS in Computer Science, related discipline, or equivalent.,
,
Submit resume to ERT's Career Opportunities Web Page at: ,
,
Earth Resources Technology, Inc. (ERT),
ERT is a VEVRAA Federal Contractor and Equal Opportunity/Affirmative Action employer - All qualified applicants will be considered for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.,
,
    "
2019-03-19 15:14,DOE,SQL SERVER SSIS SSRS & .NET TRAINING and 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/arlington-sql-server-ssis-ssrs-net/6845346495.html,employee's choice,"
        ,
,
,
, 
� 100% Placement Assistance for our consultants. ,
� Free orientation/Demo class.,
� Resume Building and Technical screening by the marketing team.,
� Mock interviews for the candidates ,
� Placement Assistance with our clients in full time or consulting positions.,
� Support will be provided while you are in the project,
� H1B sponsorship and GC for qualified employees.,
� Free Training to upgrade your skills anytime for our employees.,
� Excellent marketing team for job placements. ,

,
,
==============,==================,
,
,
,
•	The Basic Architecture of SQL Server,
•	SQL Server Editions and Versions,
•	Getting Started with SQL Server Management Studio,
,
,
•	Writing Simple SELECT Statements,
•	Eliminating Duplicates with DISTINCT,
•	Using Column and Table Aliases,
•	Writing Simple CASE Expressions,
,
,
•	Understanding Joins,
•	Querying with Inner Joins,
•	Querying with Outer Joins,
•	Querying with Cross Joins and Self Joins,
,
,
•	Sorting Data,
•	Filtering Data with a WHERE Clause,
•	Filtering with the TOP and OFFSET-FETCH Options,
•	Working with Unknown and Missing Values,
,
,
•	Introducing SQL Server 2014 Data Types,
•	Working with Character Data,
•	Working with Date and Time Data,
,
,
•	Inserting Data,
•	Modifying and Deleting Data,
,
,
•	Writing Queries with Built-In Functions,
•	Using Conversion Functions,
•	Using Logical Functions,
•	Using Functions to Work with NULL,
,
,
•	Using Aggregate Functions,
•	Using the GROUP BY Clause,
•	Filtering Groups with HAVING,
,
,
•	Writing Self-Contained Subqueries,
•	Writing Correlated Subqueries,
•	Using the EXISTS Predicate with Subqueries,
,
,
•	Writing SSIS Package Using Different Data Source,
,
,
•	Generate SSRS Report,
,
,
,
,
,

==============,==================,
,
,
,
•	Overview of Writing Applications using C#,
•	Datatypes, Operators, and Expressions,
•	C# Programming Language Constructs,
,
,
•	Creating and Invoking Methods,
•	Creating Overloaded Methods and Using Optional and Output Parameters,
•	Handling Exceptions,
•	Monitoring Applications,
,
,
•	Implementing Structs and Enums,
•	Organizing Data into Collections,
•	Handling Events,
,
,
•	Creating Classes,
•	Defining and Implementing Interfaces,
•	Implementing Type-safe Collections,
,
,
•	Creating Class Hierarchies,
•	Extending .NET Framework Classes,
•	Creating Generic Types,
,
,
•	Reading and Writing Files,
•	Serializing and Deserializing Data,
•	Performing I/O Using Streams,
,
,
•	Creating and Using Entity Data Models,
•	Querying Data by Using LINQ,
•	Updating Data by Using LINQ,
,
,
•	Accessing Data Across the Web,
•	Accessing Data in the Cloud,
,
,
•	Implementing Multitasking by using Tasks and Lambda Expressions,
•	Performing Operations Asynchronously,
•	Synchronizing Concurrent Access to Data,
,
,
•	Creating and Using Dynamic Objects,
•	Managing the Lifetime of Objects and Controlling Unmanaged Resources,
,
,
•	Implementing Symmetric Encryption,
•	Implementing Asymmetric Encryption,
,
,
•	Introduction to the .NET Framework,
•	Overview of ASP.NET,
•	Overview of the Lab Application,
,
,
•	Choosing a Programming Language,
•	Overview of Visual Studio 2017,
•	Creating a Simple Web Application,
,
,
•	Creating Web Forms,
•	Adding and Configuring Server Controls in a Web Form,
,
,
•	Working with Code-Behind Files,
•	Handling Server Control Events,
•	Creating Classes and Components by Using Visual Studio 2010,
•	Handling Page Events,
,
,
•	Creating Master Pages,
•	Adding User Controls to an ASP.NET Web Form,
,
,
•	Overview of User Input Validation,
•	ASP.NET Validation Controls,
•	Validating Web Forms,
,
,
•	Debugging in ASP.NET,
•	Tracing in ASP.NET,
,
,
•	Overview of ADO.NET,
•	Connecting to a Database,
•	Managing Data,
,
,
•	Overview of LINQ,
•	Managing XML Data by Using LINQ to XML,
•	Managing SQL Data by Using LINQ to SQL and LINQ to Entities,
,
,
•	Overview of ASP.NET Dynamic Data,
•	Applying ASP.NET Dynamic Data,
•	Customizing ASP.NET Dynamic Data Applications,
,
,
•	Introduction to Ajax,
•	Creating an ASP.NET Ajax Application by Using the Ajax Features for ASP.NET,
•	Extending an ASP.NET Web Forms Application by Using the Ajax Control Toolkit,
,
,
•	Overview of Windows Communication Foundation Services,
•	Calling Windows Communication Foundation Services,
•	Working with WCF Data Services,
,
,
•	State Management,
•	ASP.NET Profiles,
•	ASP.NET Caching,
,
,
•	Configuring an ASP.NET Web Application,
•	Deploying an ASP.NET Web Application,
,
,
•	Overview of Web Application Security,
•	Declaratively Configuring Authentication and Authorization,
•	Working Programmatically with Authentication and Authorization,
,
,
•	Overview of Microsoft Web Technologies,
•	Overview of ASP.NET 4.5,
•	Introduction to ASP.NET MVC 6,
,
,
•	Planning in the Project Design Phase,
•	Designing Models, Controllers, and Views,
,
,
•	Creating MVC Models,
•	Working with Data,
,
,
•	Writing Controllers and Actions,
•	Writing Action Filters,
,
,
•	Creating Views with Razor Syntax,
•	Using HTML Helpers,
•	Reusing Code in Views,
,
,
•	Unit Testing MVC Components,
•	Implementing an Exception Handling Strategy,
,
,
•	Analyzing Information Architecture,
•	Configuring Routes,
•	Creating a Navigation Structure,
,
,
•	Using Template Views,
•	Applying CSS to an MVC Application,
•	Creating an Adaptive User Interface,
,
,
•	Using AJAX and Partial Page Updates,
•	Implementing a Caching Strategy,
,
,
•	Rendering and Executing JavaScript Code,
•	Using jQuery and JQueryUI,
,
,
•	Implementing Authentication and Authorization,
•	Assigning Roles and Membership,
,
,
•	Developing Secure Sites,
•	State Management,
,
,
•	Introducing web service,
•	Designing and Writing Windows web Services,
•	Consuming Windows web Services in a Web Application,
,
,
•	Developing a Web API,
•	Calling a Web API from Mobile and Web Applications,
,
,
•	Using HTTP Modules and HTTP Handlers,
•	Using Web Sockets,
,
,
•	Deploying a Web Application,
•	Deploying an MVC 5 Application,
,
,
,
,
,    "
2019-03-20 07:38,competitive,Embedded Software Engineer,https://washingtondc.craigslist.org/nva/sof/d/reston-embedded-software-engineer/6845787155.html,full-time,"
        ,
,
,
,
,
American Well, a leading telehealth platform in the US, is seeking a highly motivated and professional individual with expertise in device engineering. At American Well, we believe digital care delivery will transform healthcare. Our mission is to connect and enable providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. We do this by partnering with our clients to deliver video visits over mobile and web. We have doctors, therapists, and specialists on staff to help people get care when and where they need it most.,
,
Brief Overview:,
,
The Embedded Software Engineer will play a critical role in the Devices department. Can you take a product vision and translate it into a working solution? Our team is searching for a person with experience designing and developing embedded software who can help solve some of our most challenging telehealth device engineering problems. The Embedded Software Engineer (ESE) will play a key role in designing and bringing revolutionary products to market. Working closely with cross-functional teams, the ESE will use cutting edge tools and approaches to deliver awesome products, that create amazing user experiences in surprisingly short timelines.  You’ll be key part of our engineering team and helping us revolutionize the access people have to healthcare services. Specifically, the Embedded Software Engineer will:,
,
,
,
,
,
 • Develop new software to bring the Internet of Things (IoT) to healthcare,
 • Create and test embedded software on-top of an Operating System (Linux or RTOS),
 • Develop device drivers for communication with custom electronics and medical devices,
 • Customize Linux distributions for deployment into healthcare environments,
 • Create and maintain processes for development and testing of embedded software for safety-critical, fault-tolerant operation,
 • Collaborate with internal teams (Device Engineering, Software Engineering, and Product Management) to deliver products on-time and to specification,
 • Design and develop robust communication protocols,
 • Work with 3rd party vendors to support their hardware on the American Well platform,
 • Evaluate processes, tools and approaches to potentially incorporate into how we develop products to ensure we are always learning and improving,
 • Perform other duties as assigned,
,
,
,
,
,
 • Bachelor’s degree in Computer Engineering or Computer Science,
 • 2 – 4 years experience in C/C++ coding (preferably on a Linux-based OS),
 • Familiarity with embedded Linux, RTOS operating systems, web connectivity and IoT,
 • Experience with the following devices is a plus: medical devices; mobile carts, power supplies, cable assemblies, computer and video equipment,
 • Driven to own the process and deliver the solution,
 • Excellent problem-solving, organizational and analytical skills, with the ability to evolve strategy based on research, data and industry trends,
 • Strong communication and organizational skills,
,
,
,
,
,
Your Team:,
,
Should you join American Well and the Hardware team, you can expect:,
,
American Well’s Device Engineering group is a mission-focused technology team made up the best and brightest technical talent. Operating out of our office in Reston, VA, our engineers specialize in electrical, mechanical, firmware, software, and embedded systems design and development. We design, develop, and test cutting-edge telehealth products in a fast-paced interdisciplinary team.,
,
Our mission is to transform healthcare and to be the premier distributor of provider services by creating and operationalizing devices that enable consumption of telemedicine, deliver an awesome user experience and capture exceptional business value,
,
If you enjoy working hard, challenging yourself, and staying at the cutting edge of technology, this is the team for you.  ,
,
Working at American Well,
,
American Well is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We’re a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic. In addition to the opportunity to build the future of healthcare technology and a great location, we offer:,
,
 • Unlimited Personal Time Off (Vacation time),
 • 401K match,
 • Competitive healthcare, dental and vision insurance plans,
 • Complimentary snacks and drinks,
,
,
Please APPLY ONLINE at: ,    "
2019-03-19 14:57,"80,000-160,000",Software Engineering Fellow,https://washingtondc.craigslist.org/doc/sof/d/washington-software-engineering-fellow/6845330043.html,full-time,"
        ,
What is Pathrise,
,
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.,
,
Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.,
,
About the Fellowship,
,
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.,
,
During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.,
,
Our Mission,
,
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.,
,
Qualifications,
,
You are either in university or within 5 years of graduation, and interested in getting the best possible job.,
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.,
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.,
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.,
,
Please apply here: ,    "
2019-03-25 10:39,DOE,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/ba-qabusiness-analyst-quality-analyst/6849885566.html,contract,"
        ,
BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,
,
,
For more information please call 732 250 3906,
,
Demo Introduction Video: www.youtube.com/watch?v=SHj5bH6VTu8,
,
,
We offer a Combo BA/QA Course where the students can learn the concepts of BA/QA in the same Program with out any additional effort. This also gives the flexibility for the students to choose the best Career option...BA or QA at the end of the course.,
,
100% JOB PLACEMENT ASSISTANCE RECORD. ALSO SPECIALIZE IN JOBS PLACEMENTS IN NJ,NY as we work mostly with LOCAL CLIENTS in EAST COAST.,
,
We offer detailed ,comprehensive and Job Oriented training in Business Analyst/Quality Analysis with Placement Assistance.,
Flexible timings on Weekdays/Weekends,
Professional guidance for resume preparation and interviews,
Counseling/One-on-one discussion with Trainer to clarify your doubts.,
Flexible timings for the training.,
Aggressive marketing by experienced placement team,
H1b and Green cards sponsorship for deserving candidates,
Training for Certifications and Reimbursement for Certifications on a need basis.,
Professional Training and training material.,
We are currently looking for Citizens/GC holders/OPT/CPT holders/ H1B,
We provide excellent benefits like,
,
Competitive Salary or hourly rates.,
Health Insurance.,
Corporate training opportunities,
Job Placement,
Resume Preparation,
Discussion on Interview Questions,
Job Placement Support,
On Job Support,
,
,
For more information please call 732 250 3906,
QA Testing Course Content,
Introduction to Software Testing,
• What is Software Testing?,
,
Software Development Life cycle,
• Requirements,
• Analysis,
• Design,
• Coding,
• Testing,
• Acceptance,
,
SDLC Models,
• Agile,
• Waterfall model,
• Spiral model,
• V-Model,
,
Testing-Methods,
• White Box Testing,
• Black Box testing,
• Gray Box testing,
,
Types of Testing (Black Box Testing),
• Build Verification Testing,
• Functional Testing,
• Integration Testing,
• Regression Testing,
• System Testing,
• Acceptance Testing,
• Smoke and Sanity Testing,
• Ad-hoc Testing,
• Exploratory Testing,
• Compatibility Testing,
• Disaster Recovery Resting,
• Load, Volume, Stress and Performance Testing,
,
Testing Life Cycle / Quality Assurance Life Cycle / Software Testing Life Cycle,
• Requirements,
• System study,
• Test plan,
• Test Cases,
• Traceability Matrix,
• Test case execution,
• Defect tracking,
• Test Summary Report,
• User Acceptance Testing,
,
Test Plan,
• Objective,
• Scope,
• Approach,
• Methodologies,
• Deliverables,
• Test environment,
• Schedule and Resources,
• Effort and estimation,
• Entry and Exit criteria,
• Templates,
• Risk,
• Assumption,
• Contingency Plan,
• References,
,
Test Case,
• Test Case Design,
• How to write test cases,
• When to execute test cases,
,
Checklists,
• How to create checklists,
• When to use checklists,
,
Defect tracking,
• Defect life cycle,
• Severity, priority,
• Defect tracking Tool -- Quality Center, Bugzilla and Rational Clear Quest,
• Defect report,
• Defect Tracking Sheet ,
• OK for recruiters to contact this job poster.,
• do NOT contact us with unsolicited services or offers,
,
,
•	OK for recruiters to contact this job poster.,
•	do NOT contact us with unsolicited services or offers,
,
    "
